criticName,isTopCritic,firstReview,latestReview,critic_id
Alissa Wilkinson,True,2008-09-29,2022-12-30,392
Alistair Harkness,False,2007-10-22,2023-02-01,394
Alistair Lawrence,False,2020-09-25,2023-02-24,395
Alix Turner,False,2021-01-30,2021-08-31,397
Aliya Whiteley,False,2018-09-26,2018-09-26,399
Allan Hunter,False,2007-05-23,2022-02-14,400
Allan Hunter,True,2009-05-08,2009-05-08,400
Allan Jones,False,2009-08-29,2009-08-29,402
Allen Adams,False,2018-12-05,2022-08-04,405
Allen Eyles,False,2017-07-07,2017-07-07,408
Allen O'Brien,False,2015-07-28,2015-09-27,409
Allen Salkin,True,2015-11-11,2017-03-29,411
Allen White,False,2005-12-06,2005-12-06,413
Allie Gemmill,False,2017-01-10,2019-04-08,415
Allison Rose,False,2019-07-03,2023-03-21,421
Allyson Johnson,False,2015-04-13,2022-05-05,426
Allyson Latta,False,2022-08-23,2022-08-23,427
Almar Haflidason,True,2000-01-01,2019-01-25,429
Alonso Duralde,True,2007-08-08,2022-12-16,431
Alonso Díaz de la Vega,False,2015-04-20,2020-05-13,432
Alvaro Corujo,False,2020-12-09,2021-09-27,436
Aly Semigran,False,2012-10-10,2012-10-10,438
Alyse Wax,False,2015-11-18,2022-10-05,440
Alysha Prasad,False,2020-08-25,2022-09-13,441
Alyx Gorman,False,2012-03-14,2012-06-21,447
Amanda Adame,False,2015-10-13,2020-01-29,449
Amanda Jane Robinson,False,2018-11-28,2019-09-30,452
Amanda Keats,False,2017-09-06,2019-05-23,454
Amanda Nojadera,False,2014-09-05,2015-02-13,459
Amanda the Jedi,False,2021-06-28,2022-06-15,465
Amber Wilkinson,False,2000-01-01,2023-03-29,467
Amber Wilkinson,True,2014-01-19,2014-01-26,467
Amelia Emberwing,False,2021-01-27,2022-01-12,472
Amelia Harvey,False,2019-07-24,2022-06-28,473
Amelia Navascues,False,2018-02-15,2018-10-12,474
Amelie Lasker,False,2018-08-26,2021-02-25,477
Amirose Eisenbach,False,2011-03-03,2011-03-03,482
Amit Asaravala,False,2002-12-04,2003-04-17,483
Amon Warmann,False,2013-10-22,2019-03-21,484
Amon Warmann,True,2018-09-28,2022-10-02,484
Amy Biancolli,True,2004-08-20,2014-12-08,489
Amy Bowker,True,2017-05-23,2017-05-23,490
Amy DiLuna,True,2010-05-26,2010-05-26,496
Amy Killin,False,2010-10-24,2011-01-12,503
Amy Nicholson,True,2004-09-09,2023-01-18,506
Amy R. Handler,False,2013-08-29,2014-09-04,507
Amy Ridout,False,2018-11-05,2018-11-05,508
Amy Rowe,True,2016-12-21,2017-11-22,509
Amy Smith,False,2022-04-16,2022-09-30,512
Amy Wadsworth,False,2018-12-01,2018-12-01,515
Amy West,False,2015-08-31,2019-05-28,516
Ana Luisa Carpio,False,2020-01-31,2020-01-31,521
Anahit Behrooz,False,2021-07-12,2021-09-07,523
Anaid Ramírez,False,2015-05-15,2017-04-05,524
Analita Seth,False,2020-01-03,2020-01-03,525
Anders Wotzke,False,2009-07-29,2014-12-14,528
Anders Wright,False,2013-06-13,2016-09-30,529
Andiee Paviour,False,2019-06-23,2023-02-02,533
Andre Sennwald,True,2003-05-20,2006-08-08,537
Andre Teh,False,2017-03-08,2017-10-04,538
Andrea Beach,False,2014-09-23,2020-07-29,540
Andrea Chase,False,2002-08-21,2023-03-13,543
Andrea G. Bermejo,False,2016-04-14,2021-03-09,544
Andrea Hubert,False,2021-05-19,2021-05-19,546
Andrea Hubert,True,2010-02-19,2010-02-19,546
Andrea Smith,False,2019-04-01,2019-04-01,551
Andreas Heinemann,False,2010-04-08,2014-08-23,554
Andreas Neuenkirchen,False,2004-07-11,2004-07-11,555
Andreas Samuelson,False,2004-01-26,2005-10-01,556
Andrew Arbuckle,False,2009-09-25,2009-09-25,558
Andrew Coleman,False,2011-06-03,2011-06-03,566
Andrew Collins,False,2009-11-06,2021-05-29,567
Andrew Collins,True,2000-01-01,2013-07-09,567
Andrew Daley,False,2019-04-17,2019-05-17,570
Andrew Dex,False,2010-04-15,2021-09-14,572
Andrew Dowler,False,2015-07-16,2019-04-16,573
Andrew Frisicano,True,2014-10-24,2014-10-24,576
Andrew Gaudion,False,2020-08-28,2021-01-11,580
Andrew Grant,False,2007-12-13,2007-12-13,582
Andrew Grant,True,2009-09-23,2011-11-17,582
Andrew Griffin,False,2004-09-15,2005-03-04,585
Andrew Hedley,False,2010-04-08,2015-06-17,588
Andrew Heskins,False,2020-09-23,2020-09-24,589
Andrew Husband,False,2018-09-21,2018-09-21,591
Andrew Jones,False,2014-09-19,2017-02-06,596
Andrew Kasch,False,2005-12-02,2011-08-10,598
Andrew Lapin,False,2013-08-13,2017-08-16,601
Andrew Lapin,True,2011-11-23,2019-03-14,601
Andrew Latimer,False,2019-02-09,2019-02-09,603
Andrew Lowry,False,2011-01-28,2014-10-22,605
Andrew Lowry,True,2010-12-27,2018-12-17,605
Andrew Mack,False,2020-06-19,2021-08-24,608
Andrew Male,True,2008-01-24,2011-06-13,609
Andrew Mitchell,True,2002-12-31,2002-12-31,615
Andrew Mueller,False,2009-01-23,2010-05-19,617
Andrew Murray,False,2021-02-02,2023-01-02,618
Andrew O'Hagan,False,2018-08-21,2018-08-21,619
Andrew O'Hagan,True,2009-05-15,2022-11-01,619
Andrew Osmond,False,2009-04-09,2014-08-15,623
Andrew Osmond,True,2005-02-02,2015-09-17,623
Andrew Pollard,False,2015-12-29,2020-10-19,627
Andrew Pulver,True,2001-09-17,2023-02-14,628
Andrew Schenker,True,2008-08-06,2013-11-23,636
Andrew Simpson,False,2011-08-16,2015-02-18,637
Andrew Williams,False,2008-09-26,2017-09-05,648
André Hereford,False,2017-04-07,2022-12-16,654
Andy Chen,False,2016-08-31,2017-11-09,656
Andy Gibbons,False,2015-12-17,2015-12-17,658
Andy Gill,True,2000-01-01,2008-10-03,659
Andy J Smith,False,2019-06-08,2019-06-08,664
Andy Jacobs,True,2005-07-05,2006-03-11,665
Andy Kurtz,False,2005-09-10,2007-02-03,669
Andy Lea,False,2012-10-30,2023-04-07,670
Andy Lowe,False,2007-02-14,2023-01-19,671
Andy Mauro,False,2006-01-30,2006-11-10,672
Andy Psyllides,False,2016-02-11,2017-08-03,676
Andy Tweddle,True,2012-07-05,2012-10-31,681
Andy Webster,True,2007-08-27,2017-06-29,682
Anelia Vasileva,False,2018-11-05,2018-11-05,685
Angel Cohn,False,2002-10-10,2008-09-10,688
Angela Baldassarre,False,2004-01-27,2007-09-21,689
Angie Errigo,False,2014-02-13,2019-03-27,697
Angie Errigo,True,2000-01-01,2020-03-16,697
Angus Batey,False,2021-05-18,2021-05-27,701
Anika Van Wyk,False,2002-02-22,2002-07-19,705
Anil Sinanan,True,2006-06-24,2017-10-25,706
Anita Gates,True,2000-01-01,2019-09-09,713
Anita Schmaltz,False,2002-06-07,2014-02-10,716
Ann Hornaday,True,2000-01-01,2023-02-15,724
Ann Kelly,True,2007-08-03,2007-11-24,727
Ann Lee,False,2009-01-23,2017-09-05,728
Ann Powers,True,2006-08-24,2008-01-23,730
Anna Baddeley,True,2014-12-29,2014-12-29,732
Anna Bogutskaya,True,2022-03-20,2022-05-26,734
Anna Keir,True,2009-12-10,2009-12-10,736
Anna King,True,2008-08-06,2016-06-10,737
Anna M.M. Vetticad,False,2016-07-06,2023-01-15,739
Anna Pollitt,False,2010-04-22,2010-04-22,744
Anna Richards,False,2010-05-13,2010-05-13,745
Anna Rodgers,False,2013-07-16,2014-08-12,746
Anna Smith,True,2000-01-01,2022-05-27,748
Anna Wilczek,False,2016-08-18,2016-11-03,752
Anne Barrowclough,True,2008-11-25,2008-11-25,754
Anne Billson,False,2017-11-27,2017-11-27,756
Anne Billson,True,2014-12-29,2022-01-22,756
Anne Brodie,False,2018-08-24,2023-03-17,758
Anne Gilbert,False,2006-04-10,2007-11-20,761
Anne Thompson,False,2010-07-07,2015-12-22,767
Anne Thompson,True,2010-07-07,2020-03-31,767
Anne Wollenberg,False,2009-08-07,2011-02-11,769
Annemarie Moody,True,2006-08-12,2007-08-02,770
Annette Cardwell,False,2000-12-20,2006-08-06,772
Annette Dasey,False,2003-07-16,2004-05-27,773
Annlee Ellingson,False,2000-01-01,2022-08-17,778
Annlee Ellingson,True,2013-09-19,2014-01-16,778
Anthony Arrigo,False,2018-12-10,2023-03-30,780
Anthony Del Valle,False,2004-10-15,2005-02-03,785
Anthony Kaufman,False,2000-01-01,2017-01-21,789
Anthony Kaufman,True,2010-10-22,2010-10-22,789
Anthony Miele,False,2002-12-08,2005-12-06,793
Anthony Morris,False,2010-06-07,2023-01-19,794
Anthony Quinn,False,2009-02-13,2009-02-13,797
Anthony Quinn,True,2004-01-24,2023-03-13,797
Anton Bitel,False,2003-10-28,2022-12-16,802
Anton Bitel,True,2008-08-28,2023-03-04,802
Antonia Quirke,False,2017-11-27,2019-04-01,804
Antonia Quirke,True,2004-03-17,2017-12-20,804
Antonio Camarillo,False,2016-05-20,2018-10-19,807
Antonio Ponce,False,2018-03-01,2018-03-01,810
Antonio Trashorras,False,2018-02-28,2022-06-27,812
Anubha Sawhney Joshi,False,2015-06-17,2015-06-17,814
Anupama Chopra,True,2015-05-12,2022-12-15,815
Anwar Brett,False,2012-07-12,2012-07-12,816
Anwar Brett,True,2000-01-01,2001-04-17,816
Anwen Crawford,False,2017-09-12,2018-11-09,818
Aodhan Gregory,False,2018-01-17,2018-01-17,820
April Dembosky,True,2013-07-17,2013-07-17,823
Aramide Tinubu,True,2016-11-01,2021-10-28,827
Arantxa Luna,False,2018-01-02,2018-12-25,828
Ard Vijn,False,2019-09-16,2020-01-17,830
Ariel Katz,False,2011-06-01,2012-03-20,837
Ariel Scotti,True,2016-11-09,2017-12-20,838
Arturo Aguilar,False,2015-07-02,2018-03-01,855
Arturo Magaña,False,2016-04-14,2022-05-13,856
Asher Luberto,False,2019-02-18,2022-12-19,860
Ashley Belanger,False,2014-06-11,2014-06-11,864
Ashley Clark,False,2013-12-06,2017-11-10,865
Ashley Clark,True,2011-12-01,2015-12-01,865
Ashley Cooper,False,2010-08-25,2010-08-25,867
Ashley Marie,False,2022-07-19,2022-07-19,869
Asmita Kundu,False,2017-01-18,2017-01-18,877
Athan Bezaitis,False,2000-01-01,2003-01-30,879
Aubrey Day,False,2007-08-24,2010-10-21,882
Aubrey Page,False,2016-07-28,2017-05-08,883
Audrey Fox,False,2020-07-08,2022-10-10,887
Audrey Rock-Richardson,False,2002-05-29,2006-07-28,889
Austin O'Connor,False,2004-02-04,2014-02-13,900
Avijit Ghosh,False,2017-02-26,2017-02-26,906
Avril Cadden,False,2015-02-22,2015-02-22,909
Barbara Ellen,True,2002-11-16,2018-01-03,921
Barbara Goslawski,False,2001-10-08,2011-07-02,922
Barbara Shulgasser,False,2000-01-01,2022-11-17,925
Barbara Shulgasser,True,2000-01-01,2000-01-01,925
Barbara VanDenburgh,True,2012-02-23,2019-12-25,929
Barrett Hooper,False,2003-06-13,2015-11-02,933
Barry McIlheney,True,2006-02-01,2012-02-03,940
Bartosz Czartoryski,False,2016-02-05,2016-02-05,944
Basia Cummings,True,2012-04-05,2013-05-09,945
Baz Bamigboye,False,2005-12-02,2012-12-06,947
Beatriz Maldivia,False,2019-04-16,2020-03-07,952
Beatriz Martínez,False,2017-07-28,2023-01-21,953
Becky Bartlett,False,2010-09-08,2013-05-09,958
Becky Suter,False,2016-07-11,2017-12-22,962
Bekzhan Sarsenbay,True,2015-08-07,2015-08-20,964
Ben Boyer,False,2012-02-29,2012-05-02,971
Ben Child,True,2012-06-25,2013-10-23,972
Ben De Haan,False,2002-10-30,2002-10-30,975
Ben Falk,True,2000-01-01,2004-01-13,976
Ben Flanagan,False,2019-12-30,2019-12-30,977
Ben Flanagan,True,2019-10-17,2019-10-17,977
Ben Homewood,False,2021-04-29,2021-06-08,980
Ben Kendrick,False,2012-09-27,2017-01-14,982
Ben Kenigsberg,False,2002-07-17,2013-08-04,983
Ben Kenigsberg,True,2002-11-12,2022-08-11,983
Ben Lawrence,True,2019-05-22,2019-05-22,988
Ben Lee,False,2011-08-10,2011-09-28,989
Ben Machell,True,2010-01-15,2010-01-15,992
Ben McEachen,False,2008-06-01,2011-07-04,995
Ben McEachen,True,2011-06-27,2011-06-27,995
Ben Mortimer,False,2012-08-23,2013-11-11,997
Ben Murphie,False,2019-05-25,2019-05-25,998
Ben Nicholson,False,2015-03-19,2019-04-08,999
Ben Nicholson,True,2018-10-05,2018-10-05,999
Ben Rawson-Jones,False,2009-01-23,2020-04-29,1002
Ben Robins,False,2017-11-13,2021-08-27,1004
Ben Rolph,False,2018-10-07,2021-12-14,1005
Ben Sachs,True,2010-09-21,2021-11-07,1006
Ben Sin,False,2016-04-02,2018-02-24,1007
Ben Skipper,False,2015-09-01,2018-12-14,1008
Ben Travis,False,2015-08-17,2015-08-21,1012
Ben Travis,True,2015-10-21,2022-01-17,1012
Ben Turner,False,2021-08-31,2023-02-08,1014
Ben Vinegar,False,2002-12-08,2002-12-08,1016
Ben Walters,False,2009-10-16,2009-10-16,1017
Ben Walters,True,2003-11-04,2018-07-31,1017
Benedict Nightingale,True,2003-05-21,2003-05-21,1024
Benjamin Freed,False,2018-09-14,2018-09-14,1025
Benjamin Gummery,False,2018-10-12,2022-08-06,1026
Benjamin Lee,True,2010-11-04,2022-10-07,1028
Benjamin Rabinovich,False,2017-06-01,2017-10-16,1031
Bernard Boo,False,2016-04-25,2022-10-07,1040
Bernice Watson,False,2018-11-05,2018-11-05,1043
Bertie Archer,False,2019-03-02,2019-05-31,1044
Beth Accomando,False,2003-03-05,2022-12-16,1046
Beth Jones,False,2002-06-01,2005-08-10,1051
Beth McMillan,False,2023-03-10,2023-03-10,1055
Beth Perkin,True,2016-08-10,2016-08-10,1056
Beth Pratt,False,2011-01-01,2011-01-01,1057
Beth Sullivan,True,2019-11-14,2019-12-19,1058
Beth Webb,True,2018-09-01,2022-12-16,1059
Bethany Rutter,True,2012-06-28,2012-06-28,1064
Betsy Bozdech,False,2000-01-01,2022-01-15,1065
Betsy Sharkey,True,2008-12-29,2019-11-05,1066
Betty Jo Tucker,False,2002-05-29,2022-10-20,1069
Bianca Garner,False,2021-02-02,2022-05-13,1071
Bibi Ramos,False,2018-02-27,2018-02-28,1073
Bill Arceneaux,False,2017-03-07,2022-02-10,1075
Bill Beyrer,False,2004-05-24,2005-01-11,1077
Bill Boisvert,True,2000-01-01,2022-06-16,1078
Bill Brownstein,False,2001-04-11,2023-01-21,1079
Bill Chambers,False,2000-01-01,2022-03-03,1080
Bill Clark,False,2005-02-18,2017-07-20,1081
Bill Gibron,False,2004-11-11,2018-04-12,1088
Bill Goodykoontz,True,2006-03-02,2022-12-26,1089
Bill Harris,False,2005-09-23,2005-10-14,1091
Bill Muller,False,2000-01-01,2004-09-09,1097
Bill Muller,True,2002-03-04,2022-11-02,1097
Bill Newcott,False,2016-03-23,2023-04-01,1099
Bill Pearis,False,2000-01-01,2003-12-23,1101
Bill Watters,False,2018-12-19,2022-12-16,1106
Billy Joe Hamblin,False,2010-02-26,2010-02-26,1114
Billy Manes,False,2010-05-26,2010-05-26,1115
Billy Mowbray,False,2007-02-23,2008-05-05,1116
Billy Tatum,False,2012-09-18,2015-03-04,1117
Bindu Rai,False,2017-09-06,2019-03-28,1118
Blai Morell,False,2019-07-14,2023-01-30,1120
Blake Crane,False,2013-10-12,2019-04-05,1121
Blake Davis,False,2003-01-16,2005-01-14,1122
Blake French,False,2000-01-01,2012-03-08,1124
Blake Howard,False,2012-04-26,2022-01-19,1127
Blake Wright,False,2001-06-04,2004-02-07,1129
Bob Baker,True,2006-06-24,2008-05-09,1131
Bob Bloom,False,2000-01-01,2022-12-21,1133
Bob Fenster,True,2000-01-01,2023-02-14,1137
Bob Graham,True,2000-01-01,2002-06-18,1139
Bob Grimm,False,2002-06-04,2022-12-19,1140
Bob Heisler,True,2001-02-14,2013-10-22,1142
Bob McCabe,True,2000-01-01,2017-11-13,1146
Bob Ross,False,2002-07-24,2023-03-31,1148
Bob Thompson,False,2000-01-01,2002-10-09,1156
Bob Westal,False,1993-02-19,2012-05-24,1159
Boo Allen,False,2002-06-04,2015-10-18,1165
Boon Chan,False,2015-05-13,2018-08-22,1166
Bosley Crowther,True,2000-01-01,2022-09-15,1169
Boyd Hilton,False,2009-02-19,2009-11-20,1171
Brad Gray,False,2012-03-28,2012-08-23,1176
Brad Haynes,False,2000-01-01,2001-07-19,1178
Brad Keefe,False,2014-04-17,2022-01-14,1179
Brad Laidman,False,2002-12-08,2005-12-06,1180
Brad Miska,False,2008-04-17,2018-10-05,1182
Brad Slager,False,2004-01-20,2004-06-12,1184
Bradley Null,False,2000-01-01,2004-10-31,1188
Brandon Collins,False,2018-08-28,2023-04-02,1196
Brandon Davis,False,2019-07-11,2019-11-19,1197
Brandon Fibbs,False,2007-06-25,2011-07-06,1198
Brandon Judell,False,2000-01-01,2021-11-08,1199
Brandon Judell,True,2011-07-29,2021-06-15,1199
Bren Murphy,False,2023-01-19,2023-01-19,1209
Brendan Kelly,False,2004-04-24,2016-09-23,1213
Brendan Kelly,True,2001-02-14,2009-07-07,1213
Brent McKnight,False,2013-11-26,2022-07-22,1219
Brent McKnight,True,2017-06-15,2020-07-08,1219
Brent Simon,False,2002-08-22,2018-11-02,1221
Bret McCabe,False,2004-04-24,2009-04-23,1222
Brett Ashley,False,2009-09-18,2012-10-19,1224
Brett Buckalew,False,2003-05-28,2009-11-23,1225
Brett Register,False,2007-04-19,2007-08-23,1232
Brian Bisesi,False,2023-01-14,2023-02-02,1238
Brian Chen,False,2008-05-29,2009-09-03,1242
Brian Clark,False,2020-04-29,2020-04-29,1243
Brian Clark,True,2006-06-15,2006-07-27,1243
Brian Costello,False,2012-02-29,2023-03-07,1246
Brian Formo,False,2013-11-14,2022-09-05,1252
Brian Gibson,False,2003-11-11,2018-10-24,1255
Brian Holcomb,False,2008-04-13,2012-10-11,1259
Brian J. Arthurs,False,2002-09-03,2003-12-18,1261
Brian Juergens,False,2005-03-31,2015-02-12,1262
Brian Lloyd,False,2019-08-06,2022-12-14,1264
Brian Marder,False,2002-06-28,2018-11-03,1266
Brian Mckay,False,2000-01-01,2017-10-18,1269
Brian Moylan,True,2015-01-25,2016-01-31,1272
Brian Orndorf,False,2000-01-01,2023-01-12,1274
Brian Pendreigh,False,2009-12-04,2019-08-05,1276
Brian Rentschler,False,2005-01-13,2018-11-05,1280
Brian Salisbury,False,2010-03-15,2014-09-22,1283
Brian Tallerico,True,2007-02-06,2022-12-19,1287
Brian Viner,False,2013-07-19,2023-02-03,1292
Brian Walker,False,2002-10-30,2005-05-10,1293
Brian Walton,False,2015-01-05,2015-01-05,1294
Brian Zoromski,False,2002-08-02,2005-12-22,1297
Bridget Byrne,False,2000-01-01,2006-12-01,1301
Brigid Presecky,False,2019-07-31,2019-11-25,1304
Brigit Grant,False,2011-06-05,2017-08-23,1305
Britany Murphy,False,2018-08-15,2022-02-26,1307
Bruce Ackland,True,2010-09-02,2010-09-02,1326
Bruce Bennett,False,2002-06-28,2015-07-31,1329
Bruce Cinnamon,False,2017-08-17,2017-08-17,1331
Bruce Deachman,False,2001-11-03,2002-03-09,1334
Bruce Fretts,False,2020-03-05,2020-03-05,1337
Bruce Fretts,True,2000-01-01,2003-07-30,1337
Bruce Kirkland,False,2000-01-01,2015-07-22,1341
